Dato,Tid,Kampnr,Hjemmelag,Bortelag,H-B,Bane,Tilskuere,Arrangør,Turnering
21.09.2025,14:35,41031502009         ,Nordstrand 2,Fjellhammer,13-32,Nordstrand Arena 1,125,Nordstrand Idrettsforening,Regionserien Gutter 15 - avd 32
11.10.2025,14:30,41031502013         ,Fjellhammer,Lillestrøm,35-21,Fjellhamar Arena 2,40,Fjellhammer Idrettslag,Regionserien Gutter 15 - avd 32
18.10.2025,14:15,41031502018         ,Ski/Langhus,Fjellhammer,16-22,Ski Alliansehall A,50,Ski IL Håndball,Regionserien Gutter 15 - avd 32
26.10.2025,14:30,41031502024         ,Fjellhammer,Bøler/Oppsal,31-17,Fjellhamar Arena,50,Fjellhammer Idrettslag,Regionserien Gutter 15 - avd 32
02.11.2025,17:50,41031502027         ,Oppegård,Fjellhammer,27-33,Østre Greverud Idrettshall,97,Oppegård Idrettslag,Regionserien Gutter 15 - avd 32
09.11.2025,12:30,41031502035         ,Fjellhammer,Haslum,28-28,Fjellhamar Arena 2,50,Fjellhammer Idrettslag,Regionserien Gutter 15 - avd 32
16.11.2025,18:45,41031502036         , Torp/Rolvsøy/Tindlund/Sarpsborg,Fjellhammer,-,Borgehallen,,Torp Idrætsforening,Regionserien Gutter 15 - avd 32
23.11.2025,15:50,41031502045         ,Kråkerøy,Fjellhammer,-,Blomsterøyhallen,,Kråkerøy Idrettslag,Regionserien Gutter 15 - avd 32
05.12.2025,18:50,420315002           ,Torp/Rolvsøy/Tindlund/Sarpsborg 2,Fjellhammer,-,Rolvsøyhallen,,Torp Idrætsforening,Mobile Regionscup G15
