Dato,Tid,Kampnr,Hjemmelag,Bortelag,H-B,Bane,Tilskuere,Arrangør,Turnering,Kamp URL,Hjemmelag URL,Bortelag URL,Turnering URL
21.09.2025,14:35,41031502009         ,Nordstrand 2,Fjellhammer,13-32,Nordstrand Arena 1,125,Nordstrand Idrettsforening,Regionserien Gutter 15 - avd 32,https://www.handball.no/system/kamper/kamp/?matchid=8231475,https://www.handball.no/system/kamper/lag/?lagid=682369,https://www.handball.no/system/kamper/lag/?lagid=531500,https://www.handball.no/system/kamper/turnering/?turnid=440238
11.10.2025,14:30,41031502013         ,Fjellhammer,Lillestrøm,35-21,Fjellhamar Arena 2,40,Fjellhammer Idrettslag,Regionserien Gutter 15 - avd 32,https://www.handball.no/system/kamper/kamp/?matchid=8231479,https://www.handball.no/system/kamper/lag/?lagid=531500,https://www.handball.no/system/kamper/lag/?lagid=682691,https://www.handball.no/system/kamper/turnering/?turnid=440238
18.10.2025,14:15,41031502018         ,Ski/Langhus,Fjellhammer,16-22,Ski Alliansehall A,50,Ski IL Håndball,Regionserien Gutter 15 - avd 32,https://www.handball.no/system/kamper/kamp/?matchid=8231484,https://www.handball.no/system/kamper/lag/?lagid=454777,https://www.handball.no/system/kamper/lag/?lagid=531500,https://www.handball.no/system/kamper/turnering/?turnid=440238
26.10.2025,14:30,41031502024         ,Fjellhammer,Bøler/Oppsal,31-17,Fjellhamar Arena,50,Fjellhammer Idrettslag,Regionserien Gutter 15 - avd 32,https://www.handball.no/system/kamper/kamp/?matchid=8231490,https://www.handball.no/system/kamper/lag/?lagid=531500,https://www.handball.no/system/kamper/lag/?lagid=949866,https://www.handball.no/system/kamper/turnering/?turnid=440238
02.11.2025,17:50,41031502027         ,Oppegård,Fjellhammer,27-33,Østre Greverud Idrettshall,97,Oppegård Idrettslag,Regionserien Gutter 15 - avd 32,https://www.handball.no/system/kamper/kamp/?matchid=8231493,https://www.handball.no/system/kamper/lag/?lagid=855624,https://www.handball.no/system/kamper/lag/?lagid=531500,https://www.handball.no/system/kamper/turnering/?turnid=440238
09.11.2025,12:30,41031502035         ,Fjellhammer,Haslum,28-28,Fjellhamar Arena 2,50,Fjellhammer Idrettslag,Regionserien Gutter 15 - avd 32,https://www.handball.no/system/kamper/kamp/?matchid=8231501,https://www.handball.no/system/kamper/lag/?lagid=531500,https://www.handball.no/system/kamper/lag/?lagid=473135,https://www.handball.no/system/kamper/turnering/?turnid=440238
16.11.2025,18:45,41031502036         , Torp/Rolvsøy/Tindlund/Sarpsborg,Fjellhammer,-,Borgehallen,,Torp Idrætsforening,Regionserien Gutter 15 - avd 32,https://www.handball.no/system/kamper/kamp/?matchid=8231502,https://www.handball.no/system/kamper/lag/?lagid=997845,https://www.handball.no/system/kamper/lag/?lagid=531500,https://www.handball.no/system/kamper/turnering/?turnid=440238
23.11.2025,15:50,41031502045         ,Kråkerøy,Fjellhammer,-,Blomsterøyhallen,,Kråkerøy Idrettslag,Regionserien Gutter 15 - avd 32,https://www.handball.no/system/kamper/kamp/?matchid=8231511,https://www.handball.no/system/kamper/lag/?lagid=997528,https://www.handball.no/system/kamper/lag/?lagid=531500,https://www.handball.no/system/kamper/turnering/?turnid=440238
05.12.2025,18:50,420315002           ,Torp/Rolvsøy/Tindlund/Sarpsborg 2,Fjellhammer,-,Rolvsøyhallen,,Torp Idrætsforening,Mobile Regionscup G15,https://www.handball.no/system/kamper/kamp/?matchid=8263393,https://www.handball.no/system/kamper/lag/?lagid=997845,https://www.handball.no/system/kamper/lag/?lagid=531500,https://www.handball.no/system/kamper/turnering/?turnid=439013
